あきやまの このしたかくれ ゆくみつの われこそまされ おもふこころは
あきやまの しみつはくまし にこりなは やとれるつきの くもりもそする
あきやまの ふもとのはらの むらすすき ほすゑかたより あきかせそふく
あきやまの ふもとをめくる ゆふきりに うきてすきゆく はつかりのこゑ
あきやまの みとりのいろそ めつらしき もみちにましる まつのひともと
あきやまの よものくさきや しをるらむ つきはいろそふ あらしなれとも
あきやまは しくれぬさきの したもみち かつかつつゆや そめはしむらむ
あきよりも さえにけらしな ふるゆきの つもりてはるる やまのはのつき
あきらけき こよひのつきに さそはれて むなしきそらに いまかへりぬる
あきらけき のりのともしひ なかりせは こころのやみの いかてはれまし
あきらけき ひかりそしるき よろつよの はしめとあふく あきのよのつき
あきらけき ひよしのかけを たのみつつ のとけかるへき くものうへかな
あきらけき みかけになるる いけみつを つきにそみかく よろつよのあき
あきらけき みはしのあきの つきもみつ ちかきまもりの みにつかふとて
あきらけき みよのはしめの あさひやま あまてるかみの ひかりさしそふ
あきらけく のちのほとけの みよまても ひかりつたへよ のりのともしひ
あきをへて あはれもつゆも ふかくさの さととふものは うつらなりけり
あきをへて おいとなるまて なれにけり つきよりほかの おもひてそなき
あきをへて かはらぬこゑに なくしかは おなしつまをや こひわたるらむ
あきをへて きみかよはひの ありかすに かりたのいねも ちつかつむなり
あきをへて とほさかりゆく いにしへを おなしかけなる つきにこひつつ
あきをへて なるるまくらの きりきりす しるやいそちの なみたそふとは
あきをへて ひともこぬみの はまかせに いくよのつきの ひとりすむらむ
あきをへて やとりしみつの こほれるを ひかりにみかく ふゆのよのつき
あきをへて わすれぬかりの たまつさを たれまちみよと かけてきぬらむ
あくかるる こころなれはや さよころも あくるもしらす つきにうつらむ
あくかるる こころのほとは つきもみよ ちさとのほかの ありあけのそら
あくかるる こころのままに はなをみは はるはやまちや すみかならまし
あくかるる こころはきはも なきものを やまのはちかき つきのかけかな
あくかるる こころはそらに さそはれて ぬるよすくなき あきのよのつき
あくかるる みのはかなさは ももとせの なかはすきてそ おもひしらるる
あくかるる われにをしへよ はるのかり はなにもめてす かへるこころを
あくかれし ひとのこころも ほとときす さとなれそむる よはのひとこゑ
あくかれて つきみるほとの こころにも よさむわすれす うつころもかな
あくかれて ゆくすゑとほき かきりをも つきにみつへき むさしののはら
あくかれて わかみにそはぬ こころこそ こひのたたちの しるへなりけれ
あくるたに をしまぬものを くれはとは こころのほかの そらたのめかな
あくるまの かねをもまたぬ つらさかな よふかきとりの こゑにわかれて
あくるよの たのものかすみ わけすきて やまもとわたる はるのかりかね
あくるよの とやまのはなは さきにけり よこくもにほふ そらとみるまて
あくるをそ まつへかりける よこくもの みねよりいつる ほとときすかな
あけかたき ふたみのうらに よるなみの そてのみぬれて おきつしまひと
あけかたに いてにしつきも いりぬらむ なほなかそらの くもそみたるる
あけかたに はつねはききつ ほとときす まつとしもなき おいのねさめに
あけかたの くもゐのかりの こゑはして とやまのきりに のこるつきかけ
あけくらし まもるたのみを からせつつ たもとそほつの みとそなりぬる
あけくれて ひころへにけり うのはなの うきよのなかに なかめせしまに
あけくれは まかきのしまを なかめつつ みやここひしき ねをのみそなく
あけくれは むかしをのみそ しのふくさ はすゑのつゆに そてぬらしつつ
あけそむる とやまのくもは ひまみえて またたちのほる みねのあききり
あけてたに なににかはみむ みつのえの うらしまのこを おもひやりつつ
あけなから かさねてけりな からにしき たつしらなみの あとをたつねて
あけぬとて いてつるひとの あともなし たたときのまに つもるしらゆき
あけぬとて おなしこころに なくとりを つらきためしに なにおもひけむ
あけぬとて たかなはたたし かへるかり よふかきそらを なにいそくらむ
あけぬとて ふもとのさとは いてぬれと またきりくらき さよのなかやま
あけぬとて やまちにかかる つきかけに かはりていつる あきのたひひと
あけぬとは なといそくらむ わかれちの なみたにくるる きぬきぬのそら
あけぬとも あまのかはきり たちこめて なほよをのこせ ほしあひのそら
あけぬとも こころなるへき わかれちを なととりのねに かこちそめけむ
あけぬとも とりのねきかぬ よはもかな つらきわかれの おもひてにせむ
あけぬとも なほかけのこせ しろたへの うのはなやまの みしかよのつき
あけぬとや つりするふねも いてぬらむ つきにさをさす しほかまのうら
あけぬまを たのむひとよの ちきりたに なほかけわふる くめのいははし
あけぬるか うふねのかかり たきすてて けふりもしらむ みしかよのそら
あけぬるか このまもりくる つきかけの ひかりもうすき せみのはころも
あけぬるか ねさめのまとの ひまみえて のこるともなき よはのともしひ
あけぬるか またはなさかぬ はきのとの つゆにもうつる なつのよのつき
あけぬれと おのかねくらを いてやらて たけのはかくれ うくひすそなく
あけぬれと またきぬきぬに なりやらて ひとのそてをも ぬらしつるかな
あけはては のへをまつみむ はなすすき まねくけしきは あきにかはらし
あけはまた こひのけふりに たちやせむ うらしまのこか はこならねとも
あけはまた ひとりやゆかむ よもすから つきにともなふ うつのやまこえ
あけはまつ たつねにゆかむ やまさくら これはかりたに ひとにおくれし
あけはまつ よものもみちも みるへきに おほつかなしや けさのあさきり
あけやすき そらにそいとと なくさまぬ をはすてやまの みしかよのつき
あけやすき なつのよなれと ほとときす まつにいくたひ ねさめしつらむ
あけやすき ひとのわかれを うらみしに わかあかつきの いまはひさしき
あけやらぬ かねのひひきは ほのかにて はつせのひはら つきそかたふく
あけやらぬ ねさめのとこに きこゆなり まかきのたけの ゆきのしたをれ
あけゆけは あまのかはなみ たちかへり のちのあふせや なほちきるらむ
あけゆけは みちこそみゆれ たかせふね たつかはきりの そらにきえつつ
あけわたる かすみのをちは ほのかにて のきのさくらに かせかをるなり
あけわたる そらにしられて ひさかたの いはとのせきを はるやこゆらむ
あけわたる とやまのさくら よのほとに はなさきぬらし かかるしらくも
あけわたる なみちのくもの たえまより むらむらしろき ゆきのとほやま
あけわたる みねにたなひく よこくもの たちわかれてそ そてはしくるる
あけわたる みねのさかきは しもやたひ おくかとみれは ゆきふりにけり
あけわたる よかはのかねの おとはして くものやへたつ みねそよふかき
あさあけの かすみのころも ほしそめて はるたちなるる あまのかくやま
あさあけの すそののきりに たちしをれ やまちいそかぬ さをしかのこゑ
